userid,username,password,permission,delflg,lastupdate
admin,管理者,7aac5b8bbda348d2469344c7ff501c77209fbb5dba48496e781010220b33ffaa,1,0,2015-06-03 23:11:57.0
test01,ﾃｽﾄﾕｰｻﾞｰ01,8e7b07496394504dd8968f6a8d7edfebca84772a624365ec5bf71de5be7b127e,0,0,2015-05-26 03:40:20.0
test02,ﾃｽﾄﾕｰｻﾞｰ02,770c9bcbe54e630a14ba2c39cc53206f77e8d29844b82e67bd431794b3932258,0,0,2015-05-26 10:29:01.0
test03,ﾃｽﾄﾕｰｻﾞｰ03,14189283719867024493de3b51aa9c7787a49e3ac363dec9c57b79155243cf40,0,0,2015-05-29 08:07:37.0
test04,ﾃｽﾄﾕｰｻﾞｰ04,a5b5817b6969a90b44ac97016d2911fac5f2e55a142dd099043261e5988cd5e4,0,1,2015-05-29 08:07:21.0
test044,ﾃｽﾄﾕｰｻﾞｰ04,259a3c149e9cc783d5cf2cdce013865adf98e7e17871874ea7bff50a24e87e2d,0,1,2015-06-03 18:01:34.0
test05,ﾃｽﾄﾕｰｻﾞｰ05,0fa2ed73b6eb4855796979e9cba09b9ea9b02d7a44531e9a28986f20d3e9388e,1,0,2015-05-29 10:38:57.0
test06,ﾃｽﾄﾕｰｻﾞｰ06,dc52f9eb86ca6faf90505ddcef9580f8f133186a477700e80ac8f4702fb08243,0,0,2015-05-29 03:29:36.0
test07,ﾃｽﾄﾕｰｻﾞｰ07,37d2341529484b923ebf152142fa8f32249e06f2c17b6fcea440f01b3b86d8c9,0,0,2015-05-29 08:06:47.0
test08,ﾃｽﾄﾕｰｻﾞｰ08,694cef4d255ea100fca43567f77d209fd313d7ea82780a4096da06b536337ce4,0,1,2015-06-03 18:03:52.0
test09,ﾃｽﾄﾕｰｻﾞｰ09,46dad622403e51cd9ec54c7ef3128480baac5036ece37a4c69c55cfb7cf688ce,0,0,2015-05-30 11:04:50.0
test10,ﾃｽﾄﾕｰｻﾞｰ09,442bd96dd02f00d4cf79da46cbf99f7e539612fd7e0e49f465d32a6dbb13f216,1,0,2015-06-03 15:34:14.0
test11,ﾃｽﾄﾕｰｻﾞｰ11,326168b8d31a1babbc27b68586312113fbff2b75fabcead79e7ff21a122f5c44,0,0,2015-06-03 21:35:34.0
test12,ﾃｽﾄﾕｰｻﾞｰ11,3756c57a75f002fa77a56b4dc23332acb314b43da15f43609db577030900603a,0,0,2015-06-04 06:13:50.0
